gu_std,year,area_band,jeonse_price,jeonse_count,sale_price,sale_count,jeonse_ratio_pct,risk_band
종로구,2024,84㎡,79000.0,310,125000.0,131,63.2,주의(60~80)
동대문구,2023,84㎡,54500.0,2095,86250.0,500,63.18840579710145,주의(60~80)
금천구,2023,84㎡,41000.0,581,65000.0,199,63.07692307692307,주의(60~80)
구로구,2026,84㎡,50000.0,198,79350.0,150,63.011972274732194,주의(60~80)
중랑구,2025,기타,34650.0,1117,55000.0,813,63.0,주의(60~80)
성북구,2024,33㎡,19766.0,121,31400.0,2,62.94904458598726,주의(60~80)
종로구,2024,기타,44000.0,446,70000.0,230,62.857142857142854,주의(60~80)
서대문구,2026,84㎡,65000.0,241,103500.0,119,62.80193236714976,주의(60~80)
금천구,2025,84㎡,42500.0,466,67750.0,270,62.73062730627307,주의(60~80)
중랑구,2026,33㎡,20000.0,11,31900.0,4,62.695924764890286,주의(60~80)
성북구,2024,84㎡,52500.0,2003,83900.0,1126,62.57449344457687,주의(60~80)
종로구,2021,84㎡,75000.0,285,120000.0,108,62.5,주의(60~80)
관악구,2024,기타,45000.0,796,72000.0,393,62.5,주의(60~80)
성북구,2023,기타,45000.0,1253,72000.0,421,62.5,주의(60~80)
강북구,2026,59㎡,40000.0,43,64000.0,33,62.5,주의(60~80)
영등포구,2024,33㎡,24670.0,123,39500.0,33,62.45569620253164,주의(60~80)
동대문구,2024,84㎡,55500.0,1729,89000.0,826,62.35955056179775,주의(60~80)
종로구,2026,84㎡,76000.0,39,122000.0,15,62.295081967213115,주의(60~80)
은평구,2024,33㎡,16800.0,31,27000.0,9,62.22222222222222,주의(60~80)
구로구,2026,59㎡,39400.0,146,63500.0,132,62.047244094488185,주의(60~80)
관악구,2024,84㎡,52000.0,1081,83900.0,532,61.97854588796186,주의(60~80)
성북구,2025,기타,51750.0,1036,83500.0,897,61.97604790419161,주의(60~80)
강북구,2025,84㎡,44000.0,635,71000.0,481,61.97183098591549,주의(60~80)
서대문구,2023,기타,44000.0,997,71000.0,303,61.97183098591549,주의(60~80)
노원구,2026,84㎡,50000.0,267,80750.0,144,61.91950464396285,주의(60~80)
서대문구,2021,기타,43300.0,696,70000.0,404,61.857142857142854,주의(60~80)
은평구,2024,59㎡,46000.0,1828,74500.0,741,61.74496644295302,주의(60~80)
강서구,2026,84㎡,59800.0,283,97000.0,145,61.649484536082475,주의(60~80)
중랑구,2025,59㎡,36000.0,684,58500.0,487,61.53846153846154,주의(60~80)
도봉구,2024,33㎡,17000.0,55,27650.0,12,61.48282097649186,주의(60~80)
관악구,2025,33㎡,26125.0,76,42500.0,45,61.47058823529412,주의(60~80)
관악구,2023,기타,43000.0,987,70000.0,264,61.42857142857143,주의(60~80)
관악구,2024,59㎡,43000.0,1344,70000.0,552,61.42857142857143,주의(60~80)
금천구,2022,84㎡,43000.0,500,70000.0,65,61.42857142857143,주의(60~80)
송파구,2023,33㎡,35826.0,147,58400.0,57,61.3458904109589,주의(60~80)
강북구,2026,84㎡,45000.0,55,73500.0,75,61.224489795918366,주의(60~80)
양천구,2022,84㎡,55000.0,1978,90000.0,130,61.111111111111114,주의(60~80)
강북구,2025,기타,29000.0,523,47500.0,310,61.05263157894737,주의(60~80)
중랑구,2026,84㎡,47250.0,148,77500.0,97,60.967741935483865,주의(60~80)
성북구,2026,84㎡,57725.0,224,94800.0,191,60.891350210970465,주의(60~80)
성북구,2024,기타,51000.0,1050,83800.0,559,60.859188544152744,주의(60~80)
도봉구,2026,84㎡,40000.0,125,65750.0,68,60.836501901140686,주의(60~80)
노원구,2024,84㎡,47450.0,1958,78000.0,918,60.83333333333333,주의(60~80)
중구,2026,기타,62650.0,90,103000.0,29,60.8252427184466,주의(60~80)
강북구,2022,59㎡,37100.0,488,61000.0,50,60.81967213114754,주의(60~80)
성북구,2023,84㎡,49000.0,2348,80650.0,664,60.756354618722874,주의(60~80)
종로구,2025,84㎡,82000.0,407,134975.0,232,60.75199110946472,주의(60~80)
동대문구,2025,84㎡,59000.0,2242,97200.0,1485,60.69958847736625,주의(60~80)
금천구,2021,59㎡,33000.0,480,54500.0,287,60.550458715596335,주의(60~80)
양천구,2026,59㎡,50000.0,112,82650.0,60,60.49606775559588,주의(60~80)
동대문구,2021,기타,35850.0,1292,59300.0,657,60.45531197301855,주의(60~80)
도봉구,2021,84㎡,40000.0,952,66200.0,597,60.42296072507553,주의(60~80)
종로구,2021,기타,42000.0,430,69750.0,270,60.215053763440864,주의(60~80)
금천구,2023,59㎡,30098.0,715,50000.0,184,60.196000000000005,주의(60~80)
강북구,2023,84㎡,40000.0,771,66500.0,245,60.150375939849624,주의(60~80)
중랑구,2023,33㎡,18000.0,103,30000.0,28,60.0,안정(<60)
관악구,2024,33㎡,21000.0,133,35000.0,20,60.0,안정(<60)
동대문구,2026,기타,50400.0,141,84000.0,105,60.0,안정(<60)
성북구,2026,기타,58000.0,105,96750.0,110,59.9483204134367,안정(<60)
