gu_std,year,rent_type,avg_deposit,avg_monthly_rent,tx_count
용산구,2025,월세,12760.0,145.0,3100
용산구,2025,전세,68000.0,0.0,3434
용산구,2026,월세,17344.0,120.0,327
용산구,2026,전세,68625.0,0.0,330
은평구,2021,월세,8090.0,35.0,2634
은평구,2021,전세,41000.0,0.0,4012
은평구,2022,월세,9424.0,35.0,4599
은평구,2022,전세,41895.0,0.0,6086
은평구,2023,월세,8649.0,45.0,3944
은평구,2023,전세,42000.0,0.0,6455
은평구,2024,월세,9300.0,37.0,4628
은평구,2024,전세,46000.0,0.0,5470
은평구,2025,월세,9892.0,49.0,3728
은평구,2025,전세,47000.0,0.0,5384
은평구,2026,월세,9311.5,45.0,530
은평구,2026,전세,51450.0,0.0,603
종로구,2021,월세,10000.0,80.0,762
종로구,2021,전세,57000.0,0.0,898
종로구,2022,월세,10000.0,90.0,1057
종로구,2022,전세,50000.0,0.0,926
종로구,2023,월세,10150.0,90.0,1151
종로구,2023,전세,58000.0,0.0,1266
종로구,2024,월세,10000.0,85.0,1067
종로구,2024,전세,61000.0,0.0,944
종로구,2025,월세,10000.0,85.0,1423
종로구,2025,전세,68000.0,0.0,1050
종로구,2026,월세,10657.0,90.0,192
종로구,2026,전세,70000.0,0.0,113
중구,2021,월세,5000.0,80.0,1240
중구,2021,전세,56700.0,0.0,1519
중구,2022,월세,7650.0,90.0,1698
중구,2022,전세,55120.0,0.0,1871
중구,2023,월세,5000.0,96.0,2365
중구,2023,전세,55000.0,0.0,2273
중구,2024,월세,6122.0,115.0,1878
중구,2024,전세,60000.0,0.0,1847
중구,2025,월세,7000.0,110.0,2279
중구,2025,전세,61300.0,0.0,1987
중구,2026,월세,10000.0,120.0,283
중구,2026,전세,65800.0,0.0,210
중랑구,2021,월세,5366.0,40.0,1852
중랑구,2021,전세,35500.0,0.0,2781
중랑구,2022,월세,6221.0,40.0,3098
중랑구,2022,전세,31550.0,0.0,3678
중랑구,2023,월세,6000.0,50.0,2856
중랑구,2023,전세,36000.0,0.0,4031
중랑구,2024,월세,7610.0,37.0,3420
중랑구,2024,전세,34000.0,0.0,3815
중랑구,2025,월세,7200.0,47.0,3486
중랑구,2025,전세,43000.0,0.0,3359
중랑구,2026,월세,8816.0,34.0,543
중랑구,2026,전세,33600.0,0.0,521
