자치구,연도,면적구간,평균 전세,평균 월세보증금,평균 월세,거래건수,gu_std,year,avg_jeonse,avg_monthly_rent,tx_count,area_band
영등포구,2022,59,43354,18642,67,5013,영등포구,2022,43354,67,5013,59㎡
영등포구,2022,84,56905,25897,106,4216,영등포구,2022,56905,106,4216,84㎡
영등포구,2022,기타,86178,43067,168,1259,영등포구,2022,86178,168,1259,기타
용산구,2022,33,24503,8634,37,1045,용산구,2022,24503,37,1045,33㎡
용산구,2022,59,47714,16827,90,2517,용산구,2022,47714,90,2517,59㎡
용산구,2022,84,67427,25640,170,1790,용산구,2022,67427,170,1790,84㎡
용산구,2022,기타,118728,40507,420,1830,용산구,2022,118728,420,1830,기타
은평구,2022,33,18501,7774,29,2668,은평구,2022,18501,29,2668,33㎡
은평구,2022,59,39931,13427,62,3997,은평구,2022,39931,62,3997,59㎡
은평구,2022,84,44252,23459,105,3361,은평구,2022,44252,105,3361,84㎡
은평구,2022,기타,60863,28572,121,659,은평구,2022,60863,121,659,기타
종로구,2022,33,20945,7327,54,436,종로구,2022,20945,54,436,33㎡
종로구,2022,59,41923,14823,102,568,종로구,2022,41923,102,568,59㎡
종로구,2022,84,68880,29682,157,719,종로구,2022,68880,157,719,84㎡
종로구,2022,기타,91364,35515,230,260,종로구,2022,91364,230,260,기타
중구,2022,33,20420,3626,50,926,중구,2022,20420,50,926,33㎡
중구,2022,59,49967,16379,109,1069,중구,2022,49967,109,1069,59㎡
중구,2022,84,64825,24740,143,1107,중구,2022,64825,143,1107,84㎡
중구,2022,기타,90157,32777,273,467,중구,2022,90157,273,467,기타
중랑구,2022,33,18256,5274,32,1851,중랑구,2022,18256,32,1851,33㎡
중랑구,2022,59,27791,10673,46,2818,중랑구,2022,27791,46,2818,59㎡
중랑구,2022,84,44756,20215,90,1662,중랑구,2022,44756,90,1662,84㎡
중랑구,2022,기타,49940,31774,99,446,중랑구,2022,49940,99,446,기타
강남구,2023,33,30681,7611,61,4508,강남구,2023,30681,61,4508,33㎡
