gu_std,year,rent_type,count,ratio_pct
동대문구,2023,월세,3551,40.745840504876654
동대문구,2023,전세,5164,59.254159495123346
동대문구,2024,월세,3822,45.18798770394892
동대문구,2024,전세,4636,54.81201229605107
동대문구,2025,월세,5257,47.66956837141821
동대문구,2025,전세,5771,52.3304316285818
동대문구,2026,월세,608,52.8695652173913
동대문구,2026,전세,542,47.130434782608695
동작구,2021,월세,2404,36.004193500074884
동작구,2021,전세,4273,63.99580649992511
동작구,2022,월세,3799,42.46590655041359
동작구,2022,전세,5147,57.53409344958641
동작구,2023,월세,3436,35.32072368421053
동작구,2023,전세,6292,64.67927631578947
동작구,2024,월세,3490,39.090501792114694
동작구,2024,전세,5438,60.909498207885306
동작구,2025,월세,3612,36.64772727272727
동작구,2025,전세,6244,63.35227272727273
동작구,2026,월세,543,44.146341463414636
동작구,2026,전세,687,55.85365853658537
마포구,2021,월세,3964,43.67081634901399
마포구,2021,전세,5113,56.329183650986
마포구,2022,월세,5734,46.911560173443505
마포구,2022,전세,6489,53.08843982655649
마포구,2023,월세,6525,47.07452564750018
마포구,2023,전세,7336,52.925474352499826
마포구,2024,월세,5392,45.86594079618918
마포구,2024,전세,6364,54.13405920381082
마포구,2025,월세,6025,46.546662546353524
마포구,2025,전세,6919,53.453337453646476
마포구,2026,월세,767,49.547803617571056
마포구,2026,전세,781,50.45219638242894
서대문구,2021,월세,2016,38.0449141347424
서대문구,2021,전세,3283,61.9550858652576
서대문구,2022,월세,3619,43.861350139377045
서대문구,2022,전세,4632,56.138649860622955
서대문구,2023,월세,3276,40.44444444444444
서대문구,2023,전세,4824,59.55555555555555
서대문구,2024,월세,3277,43.48460721868365
서대문구,2024,전세,4259,56.51539278131635
서대문구,2025,월세,3166,41.5540097125607
서대문구,2025,전세,4453,58.4459902874393
서대문구,2026,월세,444,46.01036269430052
서대문구,2026,전세,521,53.989637305699475
서초구,2021,월세,5512,44.00095793086932
서초구,2021,전세,7015,55.99904206913068
서초구,2022,월세,6895,45.50254075100641
서초구,2022,전세,8258,54.49745924899359
서초구,2023,월세,8145,43.48174247277387
서초구,2023,전세,10587,56.51825752722613
서초구,2024,월세,5770,40.1978542566532
서초구,2024,전세,8584,59.8021457433468
서초구,2025,월세,8198,44.651416122004356
서초구,2025,전세,10162,55.34858387799564
서초구,2026,월세,770,44.871794871794876
서초구,2026,전세,946,55.12820512820513
성동구,2021,월세,2756,37.4813001495988
성동구,2021,전세,4597,62.51869985040119
성동구,2022,월세,4432,43.327793528204126
성동구,2022,전세,5797,56.672206471795874
성동구,2023,월세,4333,38.927320097026325
성동구,2023,전세,6798,61.07267990297368
성동구,2024,월세,3836,39.85454545454545
성동구,2024,전세,5789,60.14545454545455
성동구,2025,월세,4853,41.15502035278155
성동구,2025,전세,6939,58.84497964721845
성동구,2026,월세,601,43.64560639070443
성동구,2026,전세,776,56.35439360929557
성북구,2021,월세,2591,34.57894034432137
성북구,2021,전세,4902,65.42105965567863
성북구,2022,월세,4256,42.782468837957374
성북구,2022,전세,5692,57.217531162042626
성북구,2023,월세,4048,39.009347595644215
성북구,2023,전세,6329,60.990652404355785
성북구,2024,월세,3530,38.846704082755586
성북구,2024,전세,5557,61.15329591724441
성북구,2025,월세,3714,39.58644212321467
성북구,2025,전세,5668,60.413557876785326
성북구,2026,월세,439,44.16498993963783
성북구,2026,전세,555,55.83501006036218
송파구,2021,월세,6999,41.468183434056165
송파구,2021,전세,9879,58.53181656594383
송파구,2022,월세,10105,46.15208951815483
송파구,2022,전세,11790,53.847910481845176
송파구,2023,월세,9996,40.82499489483357
송파구,2023,전세,14489,59.175005105166434
송파구,2024,월세,7972,41.73166518347903
송파구,2024,전세,11131,58.26833481652096
송파구,2025,월세,9622,42.686659864247375
송파구,2025,전세,12919,57.31334013575263
송파구,2026,월세,1147,45.015698587127154
송파구,2026,전세,1401,54.98430141287284
양천구,2021,월세,3554,36.354337152209496
양천구,2021,전세,6222,63.645662847790504
양천구,2022,월세,4539,37.223224536657376
양천구,2022,전세,7655,62.776775463342624
양천구,2023,월세,4374,34.08400218187486
양천구,2023,전세,8459,65.91599781812515
양천구,2024,월세,3949,35.06170647252064
양천구,2024,전세,7314,64.93829352747936
양천구,2025,월세,4305,35.752844448135534
양천구,2025,전세,7736,64.24715555186447
양천구,2026,월세,477,37.23653395784544
양천구,2026,전세,804,62.76346604215457
영등포구,2021,월세,2653,33.87817647809986
영등포구,2021,전세,5178,66.12182352190014
영등포구,2022,월세,5353,43.302054683708135
영등포구,2022,전세,7009,56.697945316291865
영등포구,2023,월세,4229,37.02179812658672
영등포구,2023,전세,7194,62.97820187341328
영등포구,2024,월세,5452,43.68239724381059
영등포구,2024,전세,7029,56.31760275618941
영등포구,2025,월세,4686,41.17388630173095
영등포구,2025,전세,6695,58.82611369826905
영등포구,2026,월세,651,44.22554347826087
영등포구,2026,전세,821,55.77445652173913
용산구,2021,월세,1780,39.09510213046343
용산구,2021,전세,2773,60.90489786953657
용산구,2022,월세,3768,52.464494569757726
용산구,2022,전세,3414,47.53550543024227
용산구,2023,월세,2834,42.072446555819475
용산구,2023,전세,3902,57.927553444180525
용산구,2024,월세,3343,50.30850263355907
용산구,2024,전세,3302,49.691497366440935
용산구,2025,월세,3100,47.44413835322926
용산구,2025,전세,3434,52.555861646770744
용산구,2026,월세,327,49.77168949771689
용산구,2026,전세,330,50.2283105022831
은평구,2021,월세,2634,39.63286187180259
은평구,2021,전세,4012,60.36713812819742
은평구,2022,월세,4599,43.04164716892841
은평구,2022,전세,6086,56.95835283107159
은평구,2023,월세,3944,37.92672372343495
은평구,2023,전세,6455,62.07327627656506
은평구,2024,월세,4628,45.83085759556348
은평구,2024,전세,5470,54.16914240443652
은평구,2025,월세,3728,40.913081650570675
은평구,2025,전세,5384,59.08691834942933
은평구,2026,월세,530,46.77846425419241
은평구,2026,전세,603,53.22153574580759
종로구,2021,월세,762,45.903614457831324
종로구,2021,전세,898,54.096385542168676
종로구,2022,월세,1057,53.30307614725164
종로구,2022,전세,926,46.69692385274836
종로구,2023,월세,1151,47.62101779064957
종로구,2023,전세,1266,52.37898220935043
종로구,2024,월세,1067,53.058180009945296
종로구,2024,전세,944,46.941819990054704
종로구,2025,월세,1423,57.54144763445208
종로구,2025,전세,1050,42.45855236554792
종로구,2026,월세,192,62.95081967213115
종로구,2026,전세,113,37.049180327868854
중구,2021,월세,1240,44.9438202247191
중구,2021,전세,1519,55.0561797752809
중구,2022,월세,1698,47.576351919305125
중구,2022,전세,1871,52.423648080694875
중구,2023,월세,2365,50.991806813281585
중구,2023,전세,2273,49.008193186718415
중구,2024,월세,1878,50.41610738255034
중구,2024,전세,1847,49.58389261744966
중구,2025,월세,2279,53.42240975152368
중구,2025,전세,1987,46.57759024847633
중구,2026,월세,283,57.40365111561866
중구,2026,전세,210,42.59634888438134
중랑구,2021,월세,1852,39.97409885603281
중랑구,2021,전세,2781,60.02590114396719
중랑구,2022,월세,3098,45.72018890200709
중랑구,2022,전세,3678,54.27981109799291
중랑구,2023,월세,2856,41.469435167707275
중랑구,2023,전세,4031,58.53056483229273
중랑구,2024,월세,3420,47.27021423635107
중랑구,2024,전세,3815,52.72978576364893
중랑구,2025,월세,3486,50.927684441197954
중랑구,2025,전세,3359,49.072315558802046
중랑구,2026,월세,543,51.03383458646616
중랑구,2026,전세,521,48.96616541353384
