순번,자치구,구역명,위치,Unnamed: 4,사업방법,Unnamed: 6,Unnamed: 7,사업추진단계,기존 가구수(멸실량),추진단계,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,공급형태별 건립세대수 (공급량),Unnamed: 23,Unnamed: 24,gu_std
,,,,,,,,,,,,,,,,,,,,,,총합계,분양,임대,
,,,,,,,,,,"구역지정
(아파트 지구는 정비계획 수립)",,추진위원회,"조합설립인가
(사업시행자 지정일)",건축심의,사업시행인가,,"관리처분
계획인가",,이주,,착공,,,,
,,,위치1(지번주소),위치2(도로명주소),공공/민간,일반/재촉지구,사업유형,,,최초,변경(최종),,,,최초,변경(최종),최초,변경(최종),이주시작일,이주종료일,,,,,
366.0,관악구,신림7,신림동 675,,민간,일반,주택정비형 재개발,구역지정,1226.0,2024-09-26,,,,,,,,,,,,1402,1111,291,관악구
367.0,서초구,"반포주공1단지(1,2,4주구)",반포동 810,서초구 신반포로 45,민간,일반,아파트지구 재건축,착공,2210.0,2017-04-27,2022-06-23,2011-12-28,2013-09-11,2017-07-04,2017-09-27,2024-09-03,2018-12-03,,,,2024-03-29,5007,4794,213,서초구
368.0,서초구,반포주공1단지(3주구),반포동 1109,서초구 신반포로 32,민간,일반,아파트지구 재건축,착공,1490.0,2016-09-13,2016-09-13,2003-09-01,2014-12-11,2017-06-27,2017-09-25,2025-01-09,2021-07-14,2024-03-27,,,2023-03-03,2091,2091,0,서초구
369.0,서초구,방배13,방배동 541-2,서초구 효령로14다길 6,민간,일반,단독주택 재건축,관리처분,2911.0,2015-02-17,2023-07-20,2015-11-23,2016-07-29,2017-04-25,2017-09-06,,2018-09-03,,2021-03-30,2024-12-04,,2296,2092,204,서초구
370.0,서초구,방배14,방배동 975-35,서초구 방배중앙로3길 26,민간,일반,단독주택 재건축,관리처분,506.0,2014-07-10,2022-10-06,2015-01-22,2016-04-25,2024-08-27,2017-06-20,2025-07-29,2017-12-28,,2021-10-01,2022-09-07,,492,440,52,서초구
371.0,서초구,방배5,방배동 946-8,서초구 서초대로8길 27-5,민간,일반,단독주택 재건축,착공,2551.0,2010-09-02,2024-03-21,2004-12-16,2012-05-10,2012-12-26,2013-07-29,2024-05-30,2016-07-14,2024-07-25,,,2022-07-28,3064,2798,266,서초구
372.0,서초구,방배7,방배동 891-3,서초구 서초대로32길 30-6,민간,일반,단독주택 재건축,사업시행,229.0,2012-07-26,2023-12-28,2006-05-04,2021-01-11,2023-06-28,2024-06-25,,,,,,,316,299,17,서초구
373.0,서초구,방배삼익,방배동 1018-1,서초구 효령로34길 79,민간,일반,공동주택 재건축,착공,408.0,2012-02-09,2025-09-11,2009-09-28,2017-12-04,2018-09-18,2019-05-23,2024-09-25,2021-12-16,2024-08-06,,,2023-11-21,707,621,86,서초구
374.0,서초구,방배삼호,방배동 771-1,방배로43길 21,민간,일반,아파트지구 재건축,추진위,804.0,,,2005-06-29,,,,,,,,,,0,0,0,서초구
375.0,서초구,방배신동아,방배동 988-1,서초구 효령로 164,민간,일반,공동주택 재건축,관리처분,493.0,2020-05-14,2024-05-09,2020-09-02,2020-12-31,2025-07-07,2022-07-08,,2023-10-12,,2023-10-12,2024-01-12,,843,734,109,서초구
376.0,서초구,방배신삼호,방배동 725,방배로 270,민간,일반,공동주택 재건축,조합설립,481.0,2016-09-08,2024-12-26,2004-05-14,2019-03-15,,,,,,,,,920,785,135,서초구
377.0,서초구,삼호가든5차,반포동 30-1,서초중앙로 242,민간,일반,아파트지구 재건축,건축심의,168.0,2022-10-06,,2017-03-02,2020-09-09,2024-02-13,,,,,,,,305,260,45,서초구
378.0,서초구,서초신동아,서초동 1333,사임당로 137,민간,일반,아파트지구 재건축,착공,997.0,2004-12-27,2024-04-11,2003-12-19,2015-04-10,2016-08-23,2017-03-31,2024-04-15,2018-05-15,,,,2024-12-31,1161,1161,0,서초구
379.0,서초구,신반포12차,잠원동 50-5,서초구 나루터로 37,민간,일반,아파트지구 재건축,관리처분,324.0,2022-03-24,2022-03-24,2015-09-17,2021-04-20,2023-09-12,2024-06-04,,2025-09-22,,,,,432,387,45,서초구
380.0,서초구,신반포16차,잠원동 55-12,서초구 잠원로 157,민간,일반,아파트지구 재건축,관리처분,396.0,2022-04-07,,2017-03-23,2018-02-21,2023-05-11,2023-11-02,,2025-09-17,,,,,468,400,68,서초구
381.0,서초구,신반포18차337동,잠원동 49-17,잠원로 195,민간,일반,아파트지구 재건축,착공,182.0,2012-04-19,2019-06-05,2015-02-05,2015-12-18,2018-04-10,2019-04-29,2025-07-24,2021-01-14,2024-06-03,,,2023-01-09,178,178,0,서초구
382.0,서초구,"신반포19차,25차",잠원동 61-2,서초구 잠원로8길 20,민간,일반,아파트지구 재건축,조합설립,447.0,2022-03-03,2025-11-13,,2022-03-07,,,,,,,,,0,0,0,서초구
383.0,서초구,신반포21차,잠원동 59-10,서초구 신반포로 267,민간,일반,아파트지구 재건축,착공,108.0,2018-10-11,2018-10-11,2016-09-29,2017-05-16,2018-10-25,2019-08-14,2021-12-01,2021-04-23,2023-07-26,,,2022-03-29,251,209,42,서초구
384.0,서초구,신반포22차,잠원동 65-33,서초구 잠원로 86,민간,일반,아파트지구 재건축,착공,132.0,2017-03-02,,2016-02-23,2017-04-06,2017-06-20,2017-09-22,2022-06-23,2018-04-13,2018-04-13,,,2024-04-24,160,160,0,서초구
385.0,서초구,신반포27차,잠원동 56-2,서초구 잠원로8길 3,민간,일반,아파트지구 재건축,관리처분,156.0,2021-02-15,,2017-02-28,2018-06-06,2022-04-26,2023-01-12,,2025-09-23,,,,,210,177,33,서초구
386.0,서초구,신반포2차,잠원동 73,서초구 신반포로23길 41,민간,일반,공동주택 재건축,조합설립,1572.0,2024-07-11,2025-02-20,2003-09-01,2020-11-16,,,,,,,,,2057,1797,260,서초구
