gu,year,area_pyeong_bucket,deposit_price_krw,monthly_rent_krw,rent_area_m2,rent_build_year,rent_txn_count,monthly_rent_active_krw,monthly_rent_positive_ratio,sale_price_krw,sale_area_m2,sale_build_year,sale_txn_count
강북구,2021,21.0,230000000.0,0.0,71.05,2005.0,11.0,1100000.0,1.0,515000000.0,68.675,2007.5,6.0
강북구,2021,22.0,230000000.0,0.0,71.89,1998.0,17.0,750000.0,1.0,527000000.0,71.77,2001.0,13.0
강북구,2021,23.0,300000000.0,0.0,76.08,1997.0,15.0,1370000.0,1.0,637000000.0,76.295,1994.0,10.0
강북구,2021,24.0,300000000.0,0.0,79.07,1991.0,19.0,1000000.0,1.0,433500000.0,79.07,1998.0,10.0
강북구,2021,25.0,435000000.0,0.0,84.22,2010.0,61.0,1000000.0,1.0,990000000.0,84.18,2010.0,11.0
강북구,2021,26.0,378000000.0,0.0,84.89,2004.0,768.0,1000000.0,1.0,765000000.0,84.89,2004.0,340.0
강북구,2021,27.0,,,,,,,,358500000.0,87.78,2004.0,2.0
강북구,2021,30.0,628000000.0,0.0,99.93,2019.0,6.0,850000.0,1.0,590500000.0,98.22,1996.0,4.0
강북구,2021,32.0,525000000.0,0.0,104.53,2017.0,1.0,,,,,,
강북구,2021,34.0,600000000.0,0.0,113.89,2010.0,9.0,1400000.0,1.0,800000000.0,113.09,2008.0,2.0
강북구,2021,35.0,440000000.0,0.0,114.85,2004.0,123.0,1000000.0,1.0,930000000.0,114.88,2004.0,63.0
강북구,2021,37.0,440000000.0,0.0,122.58,1993.0,12.0,900000.0,1.0,829500000.0,122.58,1993.0,18.0
강북구,2021,38.0,500000000.0,0.0,127.25,2003.0,6.0,1050000.0,1.0,765000000.0,127.25,2003.0,4.0
강북구,2021,39.0,560000000.0,0.0,129.784,2002.0,1.0,,,894500000.0,129.784,2002.0,4.0
강북구,2021,40.0,458500000.0,0.0,133.47,2004.0,2.0,,,,,,
강북구,2021,41.0,450000000.0,0.0,134.45,1992.0,4.0,,,870000000.0,134.27,1998.0,2.0
강북구,2021,44.0,500000000.0,0.0,145.33,2001.0,2.0,,,,,,
강북구,2021,45.0,100000000.0,200000.0,231.6,2001.0,3.0,225000.0,1.0,725000000.0,153.91,1993.5,2.0
강서구,2021,10.0,107730000.0,70000.0,22.82,2017.0,2031.0,350000.0,1.0,284000000.0,25.75,2014.0,273.0
강서구,2021,11.0,210000000.0,0.0,37.67,1995.0,126.0,600000.0,1.0,615000000.0,37.67,1995.0,42.0
강서구,2021,12.0,120000000.0,0.0,39.6,1993.0,1074.0,400000.0,1.0,576500000.0,39.6,1993.0,160.0
강서구,2021,13.0,104000000.0,290000.0,41.85,1994.0,381.0,520000.0,1.0,600000000.0,41.85,1994.0,64.0
강서구,2021,14.0,208040000.0,0.0,47.22,2017.0,66.0,455000.0,1.0,340000000.0,47.1,2015.0,39.0
강서구,2021,15.0,64000000.0,220000.0,49.53,2014.0,1828.0,290000.0,1.0,650000000.0,49.5,1993.0,180.0
강서구,2021,16.0,142400000.0,220000.0,51.756,2019.0,68.0,220000.0,1.0,227500000.0,51.96,1995.0,24.0
강서구,2021,17.0,230000000.0,0.0,55.88,2002.0,75.0,600000.0,1.0,480000000.0,56.88,1988.0,34.0
강서구,2021,18.0,337500000.0,0.0,59.84,2004.0,2581.0,500000.0,1.0,795000000.0,59.8325,1999.0,630.0
강서구,2021,19.0,297000000.0,0.0,63.345,2004.0,42.0,650000.0,1.0,500000000.0,62.699997,2002.0,28.0
강서구,2021,20.0,315000000.0,0.0,65.88,1993.0,125.0,800000.0,1.0,682500000.0,66.74,1993.0,44.0
강서구,2021,21.0,360000000.0,0.0,69.8933,2005.0,69.0,870000.0,1.0,516750000.0,69.6095,2003.0,32.0
강서구,2021,22.0,330000000.0,0.0,73.525,2003.0,82.0,920000.0,1.0,575000000.0,72.863,2003.0,35.0
강서구,2021,23.0,291750000.0,0.0,76.529495,2001.0,68.0,950000.0,1.0,545500000.0,76.23,2002.0,38.0
강서구,2021,24.0,380500000.0,0.0,80.64,1994.0,154.0,710000.0,1.0,620000000.0,80.17,2002.0,48.0
강서구,2021,25.0,367500000.0,0.0,83.42,2003.0,201.0,660000.0,1.0,637500000.0,83.409256,2003.0,110.0
강서구,2021,26.0,483000000.0,0.0,84.95,2005.0,2853.0,1000000.0,1.0,977000000.0,84.93,2004.0,763.0
강서구,2021,27.0,462000000.0,0.0,89.975,1995.0,29.0,1500000.0,1.0,1055000000.0,89.975,1995.0,8.0
강서구,2021,28.0,390000000.0,0.0,93.32955,2002.0,16.0,1000000.0,1.0,546000000.0,91.9719,1998.0,7.0
강서구,2021,29.0,400000000.0,0.0,95.549,2002.0,5.0,300000.0,1.0,630000000.0,95.8945,1998.5,2.0
강서구,2021,30.0,472500000.0,0.0,99.29,1998.0,23.0,2000000.0,1.0,962500000.0,99.34,2000.5,18.0
강서구,2021,31.0,500000000.0,0.0,101.87,2002.0,117.0,1050000.0,1.0,1100000000.0,101.87,1995.0,30.0
강서구,2021,32.0,535500000.0,0.0,104.75,2002.0,25.0,900000.0,1.0,1100000000.0,104.75,2002.0,9.0
