자치구,연도,면적구간,평균 전세,평균 월세보증금,평균 월세,거래건수
동대문구,2024,84,56268,21338,141,2837
동대문구,2024,기타,58590,24236,130,666
동작구,2024,33,15843,6388,41,1308
동작구,2024,59,51039,21533,99,2932
동작구,2024,84,67772,32656,129,3818
동작구,2024,기타,77427,38677,158,897
마포구,2024,33,24243,6770,54,1703
마포구,2024,59,47911,16306,103,5028
마포구,2024,84,73555,29899,179,3960
마포구,2024,기타,94727,42584,240,1066
서대문구,2024,33,17488,5897,51,1473
서대문구,2024,59,46914,17886,99,2704
서대문구,2024,84,59784,25750,133,2858
서대문구,2024,기타,69301,28665,203,501
서초구,2024,33,32012,6839,81,1179
서초구,2024,59,63917,25620,131,4122
서초구,2024,84,101617,52084,229,5705
서초구,2024,기타,139933,70048,339,3348
성동구,2024,33,30416,5210,66,646
성동구,2024,59,58247,22270,154,3977
성동구,2024,84,72663,30993,193,3915
성동구,2024,기타,101512,41429,386,1089
성북구,2024,33,18500,5301,35,1309
성북구,2024,59,43653,13902,96,3979
성북구,2024,84,53102,21517,121,3002
성북구,2024,기타,63651,26241,153,798
송파구,2024,33,36185,9058,52,2833
송파구,2024,59,52132,20118,87,5911
송파구,2024,84,74971,38924,172,9380
송파구,2024,기타,95601,50244,192,3143
양천구,2024,33,8387,3980,20,792
양천구,2024,59,40186,15375,77,4825
양천구,2024,84,61486,35039,115,4314
양천구,2024,기타,93838,64964,170,1332
영등포구,2024,33,20893,8248,40,2550
영등포구,2024,59,46466,19644,79,4763
영등포구,2024,84,60865,26055,126,3995
영등포구,2024,기타,91578,64605,207,1174
용산구,2024,33,25813,9548,44,911
용산구,2024,59,52484,18249,99,2254
용산구,2024,84,69711,26141,199,1678
용산구,2024,기타,127024,39872,449,1803
은평구,2024,33,19121,8385,32,2786
은평구,2024,59,42611,14007,73,3553
은평구,2024,84,47021,22755,120,3212
은평구,2024,기타,62953,28806,136,547
종로구,2024,33,20114,7272,61,535
종로구,2024,59,45065,16001,121,515
종로구,2024,84,77034,30925,174,709
종로구,2024,기타,99867,35388,283,253
중구,2024,33,22357,5820,69,1002
중구,2024,59,52548,13189,147,1185
중구,2024,84,67194,23922,162,1089
중구,2024,기타,89585,29460,276,449
중랑구,2024,33,18966,6213,33,2194
중랑구,2024,59,28283,11051,49,2879
중랑구,2024,84,46435,20645,97,1709
중랑구,2024,기타,47812,25583,147,454
강남구,2025,33,34083,8181,83,3470
강남구,2025,59,65548,25675,150,6415
강남구,2025,84,94932,51037,222,8939
강남구,2025,기타,142761,76422,308,4666
강동구,2025,33,26870,6568,34,4151
강동구,2025,59,42862,16152,73,7406
강동구,2025,84,61998,31306,142,6077
강동구,2025,기타,68341,37370,162,1320
강북구,2025,33,16362,2177,51,887
강북구,2025,59,33230,9662,74,1042
강북구,2025,84,44320,13366,123,1005
강북구,2025,기타,50104,21056,131,216
강서구,2025,33,22063,6472,47,4010
강서구,2025,59,39262,12542,66,5747
강서구,2025,84,55443,27072,118,4253
강서구,2025,기타,71706,34878,140,934
관악구,2025,33,20777,4641,57,1363
관악구,2025,59,42268,14804,91,2658
관악구,2025,84,53055,21542,118,1979
관악구,2025,기타,59746,25463,134,590
광진구,2025,33,29566,8124,45,961
광진구,2025,59,52353,21897,114,1532
광진구,2025,84,70663,34242,144,2376
광진구,2025,기타,109409,46119,300,645
구로구,2025,33,16634,5040,33,2324
구로구,2025,59,32062,11150,56,4603
구로구,2025,84,44613,20273,93,2967
구로구,2025,기타,53275,27610,156,641
금천구,2025,33,15181,4898,34,843
금천구,2025,59,33080,15660,65,1857
금천구,2025,84,45829,20784,88,1133
금천구,2025,기타,48510,17188,129,155
노원구,2025,33,17571,2996,47,2959
노원구,2025,59,25689,6459,67,11325
노원구,2025,84,47391,17751,101,3748
노원구,2025,기타,63798,29675,128,759
도봉구,2025,33,15516,3162,53,893
도봉구,2025,59,25286,5504,70,2644
도봉구,2025,84,45441,11773,97,2168
도봉구,2025,기타,53795,22653,127,282
동대문구,2025,33,20504,6753,46,2811
동대문구,2025,59,47147,14601,99,3798
동대문구,2025,84,57351,21651,145,3693
동대문구,2025,기타,62014,22922,135,756
동작구,2025,33,15721,5035,39,915
동작구,2025,59,52584,22210,101,3362
동작구,2025,84,69660,32252,135,4416
동작구,2025,기타,77795,38887,150,1191
마포구,2025,33,26136,6198,51,1987
마포구,2025,59,53579,18493,114,5370
마포구,2025,84,75638,30562,179,4383
마포구,2025,기타,98984,40155,270,1221
서대문구,2025,33,22433,5912,50,1128
서대문구,2025,59,47159,16988,107,2798
서대문구,2025,84,60637,25602,138,3108
서대문구,2025,기타,72891,31795,174,594
서초구,2025,33,31458,7252,78,1360
서초구,2025,59,67624,28134,134,5848
서초구,2025,84,105558,55468,245,7404
서초구,2025,기타,151100,78699,352,3780
성동구,2025,33,25761,8004,59,852
성동구,2025,59,60289,22623,170,4955
성동구,2025,84,74511,31665,202,4677
성동구,2025,기타,99961,44649,335,1321
성북구,2025,33,18839,5727,41,1112
성북구,2025,59,43618,14111,99,4115
성북구,2025,84,53415,21842,123,3368
성북구,2025,기타,63415,24996,158,802
송파구,2025,33,36989,10131,54,3030
송파구,2025,59,54381,20596,94,5978
송파구,2025,84,75595,40736,184,10351
송파구,2025,기타,100519,51053,220,3223
양천구,2025,33,7864,4331,21,834
양천구,2025,59,40040,14664,77,5166
양천구,2025,84,61622,35077,122,4504
양천구,2025,기타,96378,64798,163,1551
영등포구,2025,33,25878,6173,58,2166
영등포구,2025,59,46948,18089,96,3901
영등포구,2025,84,60771,26838,132,4079
영등포구,2025,기타,92450,43258,233,1253
용산구,2025,33,26946,7422,45,804
용산구,2025,59,54789,18793,135,2057
용산구,2025,84,72007,25702,207,1789
용산구,2025,기타,128669,46102,470,1897
은평구,2025,33,18330,7412,38,1976
은평구,2025,59,42881,13637,81,3354
은평구,2025,84,50042,22023,129,3162
은평구,2025,기타,60564,26353,144,636
종로구,2025,33,31902,7684,65,738
종로구,2025,59,50117,15785,118,620
종로구,2025,84,81398,34396,180,838
종로구,2025,기타,106684,44228,261,280
중구,2025,33,26359,6065,72,1189
중구,2025,59,54747,15699,153,1449
중구,2025,84,69549,24302,177,1153
중구,2025,기타,91104,28415,308,482
중랑구,2025,33,20388,6169,40,2019
중랑구,2025,59,35447,11074,59,2274
중랑구,2025,84,49514,21144,94,2155
중랑구,2025,기타,56192,25062,147,406
