opratDate,destination_station,stgSdCd,stgSdNm,stgSggCd,stgSggNm,stgEmdCd,stgEmdNm,arrSdCd,arrSdNm,arrSggCd,arrSggNm,arrEmdCd,arrEmdNm,tzon,quater,useStf,useTm
20260112,광화문역,11,서울특별시,11110,종로구,1111016600,연건동,11,서울특별시,11110,종로구,1111017300,명륜3가,12,00,1,717.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016600,연건동,11,서울특별시,11110,종로구,1111017300,명륜3가,12,45,2,731.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016700,충신동,11,서울특별시,11110,종로구,1111017300,명륜3가,07,45,2,723.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016700,충신동,11,서울특별시,11110,종로구,1111017300,명륜3가,08,00,2,793.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016700,충신동,11,서울특별시,11110,종로구,1111017300,명륜3가,08,15,2,626.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016700,충신동,11,서울특별시,11110,종로구,1111017300,명륜3가,08,45,1,789.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016700,충신동,11,서울특별시,11110,종로구,1111017300,명륜3가,09,30,1,867.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016700,충신동,11,서울특별시,11110,종로구,1111017300,명륜3가,10,15,1,1180.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016700,충신동,11,서울특별시,11110,종로구,1111017300,명륜3가,10,30,1,799.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016700,충신동,11,서울특별시,11110,종로구,1111017300,명륜3가,11,30,2,784.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016700,충신동,11,서울특별시,11110,종로구,1111017300,명륜3가,12,00,2,719.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016700,충신동,11,서울특별시,11110,종로구,1111017300,명륜3가,12,30,2,768.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016800,동숭동,11,서울특별시,11110,종로구,1111017300,명륜3가,07,30,1,441.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016800,동숭동,11,서울특별시,11110,종로구,1111017300,명륜3가,07,45,1,479.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016800,동숭동,11,서울특별시,11110,종로구,1111017300,명륜3가,08,00,1,654.0
