aptDong,aptNm,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landLeaseholdGbn,rgstDate,sggCd,slerGbn,umdNm,region_name
,DUO302,2014,개인,,,"15,900",12,1,2026,중개거래,서울 중구,15.97,9,819,N,,11140,개인,황학동,중구
,한양I-Class,2013,법인,,,"12,800",20,1,2026,중개거래,서울 중구,16.37,16,787,N,26.01.30,11140,개인,황학동,중구
,세운푸르지오헤리시티,2023,개인,,,"88,000",6,1,2026,중개거래,서울 중구,42.2349,5,240,N,,11140,개인,인현동2가,중구
,삼성사이버빌리지,2001,개인,,,"150,000",11,1,2026,중개거래,서울 중구,59.7,15,200,N,,11140,개인,중림동,중구
,노블레스하우스,2007,개인,,,"79,500",19,1,2026,중개거래,서울 중구,70.09,2,290-67,N,,11140,개인,신당동,중구
,롯데캐슬,2008,개인,,,"93,000",18,1,2026,중개거래,서울 성동구,59.94,19,2545,N,,11140,개인,황학동,중구
,한진해모로,2001,개인,,,"110,000",6,1,2026,중개거래,서울 성동구,59.76,10,845,N,,11140,개인,신당동,중구
,동대문와이즈캐슬,2014,개인,,,"14,700",8,1,2026,중개거래,"서울 종로구, 서울 중구",15.55,11,119,N,26.01.30,11140,개인,흥인동,중구
,황학동코아루,2010,개인,,,"103,000",16,1,2026,중개거래,서울 중구,84.96,10,882,N,,11140,개인,황학동,중구
,힐스테이트세운센트럴1단지,2023,개인,,,"113,500",9,1,2026,중개거래,서울 중구,49.4486,14,277,N,,11140,개인,입정동,중구
,남산타운,2002,개인,,,"167,800",3,1,2026,중개거래,서울 중구,84.88,11,844,N,,11140,개인,신당동,중구
,롯데캐슬,2008,개인,,,"101,500",17,1,2026,중개거래,서울 중구,59.94,29,2545,N,,11140,개인,황학동,중구
,현대,1993,개인,,,"118,000",17,1,2026,중개거래,서울 중구,83.97,7,840,N,,11140,개인,신당동,중구
,롯데캐슬,2008,개인,,,"98,000",17,1,2026,중개거래,"서울 영등포구, 서울 중구",59.91,28,2545,N,,11140,개인,황학동,중구
,약수하이츠,1999,개인,,,"140,000",10,1,2026,중개거래,서울 중구,57.63,5,842,N,,11140,개인,신당동,중구
,롯데캐슬,2008,개인,,,"129,000",16,1,2026,중개거래,서울 성동구,114.9,10,2545,N,,11140,개인,황학동,중구
,삼성,1999,개인,,,"134,500",15,1,2026,중개거래,"경남 양산시, 서울 중구",59.97,9,843,N,,11140,개인,신당동,중구
,롯데캐슬,2008,개인,,,"119,000",14,1,2026,중개거래,서울 중구,84.97,7,2545,N,,11140,개인,황학동,중구
,서울역센트럴자이,2017,개인,,,"226,000",14,1,2026,중개거래,서울 중구,84.972,12,273,N,,11140,개인,만리동2가,중구
,롯데캐슬,2008,개인,,,"91,300",9,1,2026,중개거래,서울 중구,59.94,23,2545,N,,11140,개인,황학동,중구
,현대,1993,개인,,,"139,000",13,1,2026,중개거래,"서울 성동구, 서울 중구",122.275,11,840,N,,11140,개인,신당동,중구
,서울역센트럴자이,2017,개인,,,"207,500",13,1,2026,중개거래,서울 중구,72.9932,1,273,N,,11140,개인,만리동2가,중구
,래미안하이베르,2011,개인,,,"149,500",13,1,2026,중개거래,서울 중구,59.95,13,851,N,,11140,개인,신당동,중구
,남산센트럴자이,2009,개인,,,"119,600",10,1,2026,중개거래,서울 중구,80.473,7,306,N,,11140,개인,충무로4가,중구
,롯데캐슬,2008,개인,,,"113,000",2,1,2026,중개거래,"서울 성동구, 서울 중구",84.89,22,2545,N,,11140,개인,황학동,중구
,롯데캐슬,2008,개인,,,"93,000",10,1,2026,중개거래,"서울 성동구, 서울 중구",59.94,22,2545,N,,11140,개인,황학동,중구
,약수하이츠,1999,개인,,,"150,000",3,1,2026,중개거래,서울 중구,57.63,6,842,N,,11140,개인,신당동,중구
,청구e편한세상,2011,개인,,,"190,000",11,1,2026,중개거래,서울 중구,84.96,11,852,N,,11140,개인,신당동,중구
,서울역센트럴자이,2017,개인,,,"228,000",10,1,2026,중개거래,서울 중구,84.9791,14,273,N,,11140,개인,만리동2가,중구
,청구드림,2002,개인,,,"85,000",10,1,2026,중개거래,서울 중구,84.99,3,290-90,N,,11140,개인,신당동,중구
,약수하이츠,1999,개인,,,"136,000",3,1,2026,중개거래,서울 성동구,57.63,12,842,N,,11140,개인,신당동,중구
,롯데캐슬,2008,개인,,,"104,000",10,1,2026,중개거래,서울 성동구,59.94,19,2545,N,,11140,개인,황학동,중구
