C1_OBJ_NM,C2_NM,DT,C2,C1,PRD_SE,UNIT_NM_ENG,ITM_ID,TBL_ID,ITM_NM,TBL_NM,PRD_DE,LST_CHN_DE,C1_NM_ENG,C1_NM,UNIT_NM,ITM_NM_ENG,C2_NM_ENG,ORG_ID,C1_OBJ_NM_ENG,C2_OBJ_NM
소득구간별,대전광역시,100,225,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2023,2024-12-19,Total,합계,% 만원,Number of newlyweds,Daejeon,101,By income level of wage,신혼부부 특성별
소득구간별,대전광역시,100,225,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2024,2025-12-17,Total,합계,% 만원,Number of newlyweds,Daejeon,101,By income level of wage,신혼부부 특성별
소득구간별,울산광역시,100,226,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2022,2024-01-08,Total,합계,% 만원,Number of newlyweds,Ulsan,101,By income level of wage,신혼부부 특성별
소득구간별,울산광역시,100,226,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2023,2024-12-19,Total,합계,% 만원,Number of newlyweds,Ulsan,101,By income level of wage,신혼부부 특성별
소득구간별,울산광역시,100,226,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2024,2025-12-17,Total,합계,% 만원,Number of newlyweds,Ulsan,101,By income level of wage,신혼부부 특성별
소득구간별,세종특별자치시,100,229,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2022,2024-01-08,Total,합계,% 만원,Number of newlyweds,Sejong,101,By income level of wage,신혼부부 특성별
소득구간별,세종특별자치시,100,229,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2023,2024-12-19,Total,합계,% 만원,Number of newlyweds,Sejong,101,By income level of wage,신혼부부 특성별
소득구간별,세종특별자치시,100,229,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2024,2025-12-17,Total,합계,% 만원,Number of newlyweds,Sejong,101,By income level of wage,신혼부부 특성별
소득구간별,경기도,100,231,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2022,2024-01-08,Total,합계,% 만원,Number of newlyweds,Gyeonggi-do,101,By income level of wage,신혼부부 특성별
소득구간별,경기도,100,231,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2023,2024-12-19,Total,합계,% 만원,Number of newlyweds,Gyeonggi-do,101,By income level of wage,신혼부부 특성별
소득구간별,경기도,100,231,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2024,2025-12-17,Total,합계,% 만원,Number of newlyweds,Gyeonggi-do,101,By income level of wage,신혼부부 특성별
소득구간별,강원특별자치도,100,232,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2022,2024-01-08,Total,합계,% 만원,Number of newlyweds,Gangwon State,101,By income level of wage,신혼부부 특성별
소득구간별,강원특별자치도,100,232,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2023,2024-12-19,Total,합계,% 만원,Number of newlyweds,Gangwon State,101,By income level of wage,신혼부부 특성별
소득구간별,강원특별자치도,100,232,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2024,2025-12-17,Total,합계,% 만원,Number of newlyweds,Gangwon State,101,By income level of wage,신혼부부 특성별
소득구간별,충청북도,100,233,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2022,2024-01-08,Total,합계,% 만원,Number of newlyweds,Chungcheongbuk-do,101,By income level of wage,신혼부부 특성별
소득구간별,충청북도,100,233,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2023,2024-12-19,Total,합계,% 만원,Number of newlyweds,Chungcheongbuk-do,101,By income level of wage,신혼부부 특성별
소득구간별,충청북도,100,233,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2024,2025-12-17,Total,합계,% 만원,Number of newlyweds,Chungcheongbuk-do,101,By income level of wage,신혼부부 특성별
소득구간별,충청남도,100,234,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2022,2024-01-08,Total,합계,% 만원,Number of newlyweds,Chungcheongnam-do,101,By income level of wage,신혼부부 특성별
소득구간별,충청남도,100,234,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2023,2024-12-19,Total,합계,% 만원,Number of newlyweds,Chungcheongnam-do,101,By income level of wage,신혼부부 특성별
소득구간별,충청남도,100,234,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2024,2025-12-17,Total,합계,% 만원,Number of newlyweds,Chungcheongnam-do,101,By income level of wage,신혼부부 특성별
소득구간별,전북특별자치도,100,235,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2022,2024-01-08,Total,합계,% 만원,Number of newlyweds,Jeonbuk State,101,By income level of wage,신혼부부 특성별
소득구간별,전북특별자치도,100,235,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2023,2024-12-19,Total,합계,% 만원,Number of newlyweds,Jeonbuk State,101,By income level of wage,신혼부부 특성별
소득구간별,전북특별자치도,100,235,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2024,2025-12-17,Total,합계,% 만원,Number of newlyweds,Jeonbuk State,101,By income level of wage,신혼부부 특성별
소득구간별,전라남도,100,236,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2022,2024-01-08,Total,합계,% 만원,Number of newlyweds,Jeollanam-do,101,By income level of wage,신혼부부 특성별
소득구간별,전라남도,100,236,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2023,2024-12-19,Total,합계,% 만원,Number of newlyweds,Jeollanam-do,101,By income level of wage,신혼부부 특성별
소득구간별,전라남도,100,236,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2024,2025-12-17,Total,합계,% 만원,Number of newlyweds,Jeollanam-do,101,By income level of wage,신혼부부 특성별
소득구간별,경상북도,100,237,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2022,2024-01-08,Total,합계,% 만원,Number of newlyweds,Gyeongsangbuk-do,101,By income level of wage,신혼부부 특성별
소득구간별,경상북도,100,237,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2023,2024-12-19,Total,합계,% 만원,Number of newlyweds,Gyeongsangbuk-do,101,By income level of wage,신혼부부 특성별
소득구간별,경상북도,100,237,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2024,2025-12-17,Total,합계,% 만원,Number of newlyweds,Gyeongsangbuk-do,101,By income level of wage,신혼부부 특성별
소득구간별,경상남도,100,238,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2022,2024-01-08,Total,합계,% 만원,Number of newlyweds,Gyeongsangnam-do,101,By income level of wage,신혼부부 특성별
소득구간별,경상남도,100,238,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2023,2024-12-19,Total,합계,% 만원,Number of newlyweds,Gyeongsangnam-do,101,By income level of wage,신혼부부 특성별
소득구간별,경상남도,100,238,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2024,2025-12-17,Total,합계,% 만원,Number of newlyweds,Gyeongsangnam-do,101,By income level of wage,신혼부부 특성별
소득구간별,제주특별자치도,100,239,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2022,2024-01-08,Total,합계,% 만원,Number of newlyweds,Jeju-do,101,By income level of wage,신혼부부 특성별
소득구간별,제주특별자치도,100,239,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2023,2024-12-19,Total,합계,% 만원,Number of newlyweds,Jeju-do,101,By income level of wage,신혼부부 특성별
소득구간별,제주특별자치도,100,239,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2024,2025-12-17,Total,합계,% 만원,Number of newlyweds,Jeju-do,101,By income level of wage,신혼부부 특성별
소득구간별,맞벌이,100,701,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2022,2024-01-08,Total,합계,% 만원,Number of newlyweds,Dual-earner families,101,By income level of wage,신혼부부 특성별
소득구간별,맞벌이,100,701,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2023,2024-12-19,Total,합계,% 만원,Number of newlyweds,Dual-earner families,101,By income level of wage,신혼부부 특성별
소득구간별,맞벌이,100,701,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2024,2025-12-17,Total,합계,% 만원,Number of newlyweds,Dual-earner families,101,By income level of wage,신혼부부 특성별
소득구간별,외벌이,100,702,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2022,2024-01-08,Total,합계,% 만원,Number of newlyweds,Single-earner families,101,By income level of wage,신혼부부 특성별
소득구간별,외벌이,100,702,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2023,2024-12-19,Total,합계,% 만원,Number of newlyweds,Single-earner families,101,By income level of wage,신혼부부 특성별
소득구간별,외벌이,100,702,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2024,2025-12-17,Total,합계,% 만원,Number of newlyweds,Single-earner families,101,By income level of wage,신혼부부 특성별
소득구간별,기타,100,709,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2022,2024-01-08,Total,합계,% 만원,Number of newlyweds,The others,101,By income level of wage,신혼부부 특성별
소득구간별,기타,100,709,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2023,2024-12-19,Total,합계,% 만원,Number of newlyweds,The others,101,By income level of wage,신혼부부 특성별
소득구간별,기타,100,709,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2024,2025-12-17,Total,합계,% 만원,Number of newlyweds,The others,101,By income level of wage,신혼부부 특성별
소득구간별,무자녀,100,780,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2022,2024-01-08,Total,합계,% 만원,Number of newlyweds,No children,101,By income level of wage,신혼부부 특성별
소득구간별,무자녀,100,780,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2023,2024-12-19,Total,합계,% 만원,Number of newlyweds,No children,101,By income level of wage,신혼부부 특성별
소득구간별,무자녀,100,780,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2024,2025-12-17,Total,합계,% 만원,Number of newlyweds,No children,101,By income level of wage,신혼부부 특성별
소득구간별,유자녀,100,790,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2022,2024-01-08,Total,합계,% 만원,Number of newlyweds,Have children(Subtotal),101,By income level of wage,신혼부부 특성별
소득구간별,유자녀,100,790,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2023,2024-12-19,Total,합계,% 만원,Number of newlyweds,Have children(Subtotal),101,By income level of wage,신혼부부 특성별
소득구간별,유자녀,100,790,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2024,2025-12-17,Total,합계,% 만원,Number of newlyweds,Have children(Subtotal),101,By income level of wage,신혼부부 특성별
소득구간별,주택 미소유,100,810,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2022,2024-01-08,Total,합계,% 만원,Number of newlyweds,Non-possession of house,101,By income level of wage,신혼부부 특성별
