C1_OBJ_NM,C2_NM,DT,C2,C1,PRD_SE,UNIT_NM_ENG,ITM_ID,TBL_ID,ITM_NM,TBL_NM,PRD_DE,LST_CHN_DE,C1_NM_ENG,C1_NM,UNIT_NM,ITM_NM_ENG,C2_OBJ_NM_ENG,C2_NM_ENG,ORG_ID,C1_OBJ_NM_ENG,C2_OBJ_NM
소득구간별,2억원~3억원 미만,0.8,70,1,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2024,2025-12-17,Less then 10 million won,1천만원 미만,%,Ratio of newlyweds,by debt level,200 million ~ 300 million won,101,by income level,금융권 대출잔액구간별
소득구간별,3억원 이상,1.1,80,1,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2022,2024-01-08,Less then 10 million won,1천만원 미만,%,Ratio of newlyweds,by debt level,300 million won ＆ more,101,by income level,금융권 대출잔액구간별
소득구간별,3억원 이상,1,80,1,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2023,2024-12-19,Less then 10 million won,1천만원 미만,%,Ratio of newlyweds,by debt level,300 million won ＆ more,101,by income level,금융권 대출잔액구간별
소득구간별,3억원 이상,1,80,1,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2024,2025-12-17,Less then 10 million won,1천만원 미만,%,Ratio of newlyweds,by debt level,300 million won ＆ more,101,by income level,금융권 대출잔액구간별
소득구간별,합계,13.7,00,2,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2022,2024-01-08,10 million ~ 30 million won,1천만원~3천만원 미만,%,Ratio of newlyweds,by debt level,Total,101,by income level,금융권 대출잔액구간별
소득구간별,합계,12.5,00,2,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2023,2024-12-19,10 million ~ 30 million won,1천만원~3천만원 미만,%,Ratio of newlyweds,by debt level,Total,101,by income level,금융권 대출잔액구간별
소득구간별,합계,11.9,00,2,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2024,2025-12-17,10 million ~ 30 million won,1천만원~3천만원 미만,%,Ratio of newlyweds,by debt level,Total,101,by income level,금융권 대출잔액구간별
소득구간별,대출잔액 없음,1.9,05,2,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2022,2024-01-08,10 million ~ 30 million won,1천만원~3천만원 미만,%,Ratio of newlyweds,by debt level,,101,by income level,금융권 대출잔액구간별
소득구간별,대출잔액 없음,1.7,05,2,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2023,2024-12-19,10 million ~ 30 million won,1천만원~3천만원 미만,%,Ratio of newlyweds,by debt level,,101,by income level,금융권 대출잔액구간별
소득구간별,대출잔액 없음,1.7,05,2,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2024,2025-12-17,10 million ~ 30 million won,1천만원~3천만원 미만,%,Ratio of newlyweds,by debt level,,101,by income level,금융권 대출잔액구간별
