구,구코드,년월,아파트명,법정동,전용면적_m2,층,보증금_만원,월세_만원,계약유형,계약일,건축년도
종로구,11110,202103,롯데캐슬천지인,숭인동,112.54,17,68250,0,,2021-03-18,2004
종로구,11110,202103,현대,무악동,84.92,3,48300,0,,2021-03-18,2000
종로구,11110,202103,삼전솔하임2차,숭인동,15.0,8,1000,50,,2021-03-15,2012
종로구,11110,202103,경희궁자이(2단지),홍파동,84.836,14,73500,0,,2021-03-16,2017
종로구,11110,202103,경희궁롯데캐슬,무악동,84.8792,13,67200,0,,2021-03-13,2019
종로구,11110,202103,경희궁롯데캐슬,무악동,84.8792,16,77000,0,,2021-03-08,2019
종로구,11110,202103,인왕산아이파크,무악동,84.858,6,80000,0,,2021-03-15,2008
종로구,11110,202103,삼전솔하임2차,숭인동,14.69,4,2000,48,,2021-03-12,2012
종로구,11110,202103,COZY빌딩,숭인동,15.306,10,8000,0,,2021-03-15,2013
종로구,11110,202103,두산,창신동,59.95,4,37800,0,,2021-03-13,1999
종로구,11110,202103,대성스카이렉스,견지동,149.72,15,72450,0,,2021-03-06,2008
종로구,11110,202103,두산,창신동,59.95,2,36750,0,,2021-03-10,1999
종로구,11110,202103,경희궁자이(3단지),평동,59.755,5,66150,0,,2021-03-08,2017
종로구,11110,202103,경희궁자이(3단지),평동,84.836,6,118000,0,,2021-03-10,2017
종로구,11110,202103,인왕산아이파크,무악동,114.931,7,60900,37,,2021-03-06,2008
종로구,11110,202103,인왕산아이파크,무악동,84.858,8,63000,0,,2021-03-09,2008
종로구,11110,202103,종로센트레빌,숭인동,59.92,5,55000,0,,2021-03-03,2008
종로구,11110,202103,경희궁자이(3단지),평동,59.855,19,92000,0,,2021-03-06,2017
종로구,11110,202103,경희궁자이(1단지),행촌동,44.026,13,5916,20,,2021-03-08,2017
종로구,11110,202103,종로청계힐스테이트,숭인동,84.9478,8,51500,0,,2021-03-05,2009
종로구,11110,202103,광화문스페이스본(101동~105동),사직동,151.81,14,84000,75,,2021-03-06,2008
종로구,11110,202103,경희궁자이(3단지),평동,84.944,9,110000,0,,2021-03-04,2017
종로구,11110,202103,낙원,낙원동,107.17,13,21000,0,,2021-03-04,1968
종로구,11110,202103,종로청계힐스테이트,숭인동,84.9478,13,73000,0,,2021-03-03,2009
종로구,11110,202103,숭인모범101동,숭인동,59.64,4,22000,0,,2021-03-03,2000
종로구,11110,202103,삼성,평창동,84.93,2,37000,35,,2021-03-03,1998
종로구,11110,202103,익성씨티하임,숭인동,15.76,10,6000,30,,2021-03-02,2013
종로구,11110,202103,경희궁자이(2단지),홍파동,84.836,16,90000,0,,2021-03-02,2017
종로구,11110,202103,경희궁의아침3단지,내수동,174.55,15,126000,0,,2021-03-01,2004
중구,11140,202103,덕수궁롯데캐슬,순화동,56.2897,5,63000,0,,2021-03-25,2016
중구,11140,202103,롯데캐슬,황학동,84.92,22,75000,0,,2021-03-09,2008
중구,11140,202103,남산타운,신당동,114.88,9,85000,0,,2021-03-18,2002
중구,11140,202103,남산타운,신당동,59.94,6,58000,0,,2021-03-06,2002
중구,11140,202103,약수하이츠,신당동,57.63,10,50000,0,,2021-03-13,1999
중구,11140,202103,청계리버팰리스A,황학동,26.14,13,26000,0,,2021-03-20,2019
중구,11140,202103,덕수궁롯데캐슬,순화동,42.3686,10,2000,157,,2021-03-06,2016
중구,11140,202103,삼정아트테라스정동,정동,27.2434,3,35500,0,,2021-03-20,2020
중구,11140,202103,삼정아트테라스정동,정동,13.8874,7,7000,50,,2021-03-24,2020
중구,11140,202103,삼정아트테라스정동,정동,32.0134,2,5000,120,,2021-03-20,2020
중구,11140,202103,브라운스톤서울,중림동,84.878,18,54600,0,,2021-03-25,2006
중구,11140,202103,삼정아트테라스정동,정동,17.7034,7,5000,70,,2021-03-18,2020
중구,11140,202103,삼정아트테라스정동,정동,32.0134,2,20000,40,,2021-03-11,2020
중구,11140,202103,오렌지카운티을지로,오장동,12.26,8,15000,0,,2021-03-23,2020
중구,11140,202103,삼정아트테라스정동,정동,32.0134,2,20000,45,,2021-03-13,2020
중구,11140,202103,래미안하이베르,신당동,59.95,10,49300,0,,2021-03-13,2011
중구,11140,202103,청구e편한세상,신당동,59.89,9,57700,0,,2021-03-23,2011
중구,11140,202103,삼성사이버빌리지(임대),중림동,31.59,5,1456,17,,2021-03-24,2001
중구,11140,202103,약수하이츠,신당동,32.67,7,1058,14,,2021-03-03,1999
중구,11140,202103,서울역센트럴자이,만리동2가,84.972,8,90000,0,,2021-03-02,2017
중구,11140,202103,리마크빌동대문,흥인동,25.99,15,1500,100,,2021-03-15,2016
중구,11140,202103,래미안하이베르,신당동,84.98,5,62500,0,,2021-03-25,2011
중구,11140,202103,서울역센트럴자이,만리동2가,59.9808,4,53000,50,,2021-03-27,2017
중구,11140,202103,바비엥3,순화동,82.91,18,65000,0,,2021-03-13,2006
중구,11140,202103,SK리더스뷰남산,회현동1가,115.04,12,100000,0,,2021-03-09,2010
중구,11140,202103,남산타운,신당동,114.88,18,43000,120,,2021-03-18,2002
중구,11140,202103,롯데캐슬,황학동,59.94,10,53000,0,,2021-03-11,2008
중구,11140,202103,충무로헤센스마트,충무로5가,19.76,6,1000,78,,2021-03-26,2018
중구,11140,202103,상지리츠빌장충동카일룸,장충동1가,244.75,2,300000,0,,2021-03-19,2008
중구,11140,202103,롯데캐슬,황학동,84.89,28,73000,0,,2021-03-27,2008
중구,11140,202103,SK리더스뷰남산,회현동1가,176.26,20,110250,0,,2021-03-22,2010
중구,11140,202103,남산타운,신당동,84.88,8,77000,0,,2021-03-06,2002
중구,11140,202103,SK리더스뷰남산,회현동1가,176.26,13,160000,0,,2021-03-31,2010
중구,11140,202103,현대,신당동,79.11,12,60000,0,,2021-03-26,1993
중구,11140,202103,토토타워(5차),신당동,36.45,5,2000,52,,2021-03-13,2001
중구,11140,202103,신당파인힐하나유보라,신당동,32.5619,2,4000,78,,2021-03-20,2019
중구,11140,202103,남산타운,신당동,59.94,1,38000,0,,2021-03-06,2002
중구,11140,202103,남산롯데캐슬아이리스,회현동1가,113.46,18,100000,0,,2021-03-30,2011
중구,11140,202103,남산타운,신당동,59.94,6,55000,0,,2021-03-06,2002
중구,11140,202103,삼성사이버빌리지,중림동,84.95,13,50000,60,,2021-03-25,2001
중구,11140,202103,우일타운,흥인동,84.87,19,32000,0,,2021-03-31,1994
중구,11140,202103,서울역센트럴자이,만리동2가,59.98,17,57750,0,,2021-03-13,2017
중구,11140,202103,현대,신당동,83.97,2,53000,0,,2021-03-15,1993
중구,11140,202103,삼성사이버빌리지(임대),중림동,31.59,14,3290,7,,2021-03-10,2001
중구,11140,202103,삼성,신당동,84.96,7,70000,0,,2021-03-27,1999
중구,11140,202103,약수역더시티,신당동,18.86,10,19000,0,,2021-03-25,2021
중구,11140,202103,약수하이츠,신당동,84.88,3,72000,0,,2021-03-26,1999
중구,11140,202103,남산타운,신당동,84.88,10,10000,150,,2021-03-12,2002
중구,11140,202103,남산타운,신당동,59.94,7,59800,0,,2021-03-12,2002
중구,11140,202103,삼성사이버빌리지,중림동,84.93,6,43000,60,,2021-03-20,2001
중구,11140,202103,약수하이츠,신당동,84.88,7,70000,0,,2021-03-08,1999
중구,11140,202103,남산타운,신당동,114.88,6,30000,160,,2021-03-26,2002
중구,11140,202103,충무로엘크루메크로시티2차,충무로5가,22.75,16,3000,70,,2021-03-20,2016
중구,11140,202103,덕수궁롯데캐슬,순화동,56.2897,3,10000,170,,2021-03-04,2016
중구,11140,202103,서울역한라비발디센트럴,만리동2가,84.9728,6,84000,0,,2021-03-24,2018
중구,11140,202103,약수(372-13),신당동,50.81,4,20000,0,,2021-03-06,1968
중구,11140,202103,우일타운,흥인동,69.39,18,47000,0,,2021-03-19,1994
중구,11140,202103,약수넥스빌,신당동,84.93,3,25000,60,,2021-03-17,2000
중구,11140,202103,한양I-Class,황학동,16.37,15,2000,50,,2021-03-25,2013
중구,11140,202103,롯데캐슬,황학동,114.9,22,20000,200,,2021-03-06,2008
중구,11140,202103,약수하이츠,신당동,57.63,5,43000,40,,2021-03-15,1999
중구,11140,202103,남산타운,신당동,59.94,8,3000,137,,2021-03-06,2002
중구,11140,202103,황학아크로타워,황학동,84.962,15,50000,90,,2021-03-18,2010
중구,11140,202103,동대문와이즈캐슬,흥인동,15.55,10,1000,57,,2021-03-23,2014
중구,11140,202103,삼성,신당동,84.96,16,20000,145,,2021-03-27,1999
중구,11140,202103,신당푸르지오,신당동,114.48,18,46000,20,,2021-03-20,2005
중구,11140,202103,남산타운,신당동,84.88,12,50000,80,,2021-03-20,2002
중구,11140,202103,신당블루카운티,황학동,59.98,8,43000,0,,2021-03-07,2016
중구,11140,202103,약수하이츠,신당동,84.88,6,20000,130,,2021-03-13,1999
중구,11140,202103,삼정아트테라스정동,정동,17.7034,7,2000,100,,2021-03-30,2020
중구,11140,202103,남산타운,신당동,59.94,2,42500,0,,2021-03-20,2002
